実質暦年,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Calendar Year",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
Calendar Year,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
2018/1-12.,"554,766.5","302,625.8","295,694.0","246,050.4","19,827.9","91,540.2","2,101.2","108,430.3","27,582.8",-11.2,"2,875.6","105,465.2","102,589.6",-206.0 ,,"-2,727.8","552,038.7","21,171.2","33,155.8","11,984.6","573,209.9",,"552,018.3","416,038.7","135,980.9",,"138,926.7",,"552,734.0",,,
2019/1-12.,"552,535.4","300,738.3","293,515.7","243,796.2","20,649.5","90,933.1","1,476.1","110,489.3","28,105.9",-57.0,323.6,"103,927.0","103,603.5",-123.3 ,,"-2,033.6","550,501.9","21,650.0","33,988.7","12,338.7","572,151.9",,"552,270.9","413,763.3","138,508.6",,"139,688.0",,"551,182.7",,,
2020/1-12.,"528,894.6","286,740.4","278,481.5","228,786.9","19,012.4","86,513.7","-1,103.3","113,108.5","29,070.1",-67.1,"-4,732.2","91,877.0","96,609.2",352.0 ,,"3,069.3","531,963.8","19,580.9","29,997.2","10,416.3","551,544.7",,"533,259.7","391,170.9","142,087.0",,"134,621.6",,"530,080.0",,,
2021/1-12.,"540,309.7","287,893.4","279,719.1","229,937.3","18,796.9","87,169.0",42.8,"117,047.3","28,531.6",-83.7,"1,214.5","102,787.2","101,572.7",-302.0 ,,"-3,948.8","536,360.9","25,874.8","37,352.5","11,477.7","562,235.7",,"539,242.9","393,833.9","145,416.6",,"134,494.9",,"540,433.0",,,
2022/1-12.,"545,955.6","293,793.0","285,653.5","235,736.4","17,923.6","88,757.1","2,448.0","118,817.7","26,526.7",-103.1,"-1,595.5","108,068.8","109,664.2",-611.9 ,,"-15,885.2","530,070.4","33,288.0","47,242.2","13,954.2","563,358.3",,"547,837.7","402,789.8","145,035.7",,"133,074.2",,"543,637.9",,,
＊開差＝国内総生産(支出側)－国内総生産(支出側)の内訳項目計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＊財貨・サービスの純輸出は連鎖方式での計算ができないため、財貨・サービスの輸出－財貨・サービスの輸入により求めている。このため寄与度とは符号が一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
